Store Name,Store Number,Store Complex,Address,City,State,Zip,Phone Number,chain,zip,NAME,median_income,total_population,median_age,pop_25plus,bachelors,masters,doctorate,college_plus,college_plus_pct
Holladay,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,385-695-6817,Sprouts,,,,,,,,,,,
Murray,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,801-266-3566,Sprouts,,,,,,,,,,,
Orem,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,801-434-1501,Sprouts,,,,,,,,,,,
Salt Lake City,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,801-364-1602,Sprouts,,,,,,,,,,,
South Jordan,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,385-695-6809,Sprouts,,,,,,,,,,,
St. George,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,435-301-0739,Sprouts,,,,,,,,,,,
Haymarket,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,540-690-6410,Sprouts,,,,,,,,,,,
Herndon,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,703-480-7930,Sprouts,,,,,,,,,,,
Leesburg,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,571-617-7904,Sprouts,,,,,,,,,,,
Manassas,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,571-579-3257,Sprouts,,,,,,,,,,,
Mill Creek,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,425-332-6670,Sprouts,,,,,,,,,,,
Seattle,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,206-337-4625,Sprouts,,,,,,,,,,,
Silverdale,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,360-900-4125,Sprouts,,,,,,,,,,,
Cheyenne,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,307-317-7820,Sprouts,,,,,,,,,,,
Traderjoes,737,Shopping List,"205 Summit Blvd, Suite 100",Birmingham,AL,35243.0,205-969-7801,Trader Joes,35243,ZCTA5 35243,102163.0,18575.0,39.7,13631.0,5394.0,2370.0,549.0,8313.0,61.0
Traderjoes,838,Shopping List,1769 Montgomery Hwy,Hoover,AL,35244.0,205-202-7715,Trader Joes,35244,ZCTA5 35244,106338.0,36783.0,38.3,25354.0,8245.0,4737.0,705.0,13687.0,54.0
Traderjoes,785,Shopping List,1100 Mid City Dr NW,Huntsville,AL,35806.0,256-890-7156,Trader Joes,35806,ZCTA5 35806,75637.0,27549.0,32.0,18143.0,6170.0,3852.0,332.0,10354.0,57.1
Traderjoes,756,Shopping List,11500 Financial Centre Pky,Little Rock,AR,72211.0,501-954-7659,Trader Joes,72211,ZCTA5 72211,76503.0,23832.0,35.2,16639.0,5125.0,2286.0,845.0,8256.0,49.6
Traderjoes,287,Shopping List,3961 S Arizona Ave,Chandler,AZ,85248.0,520-453-3452,Trader Joes,85248,ZCTA5 85248,87881.0,36305.0,58.8,29407.0,9099.0,4692.0,632.0,14423.0,49.0
Traderjoes,285,Shopping List,1779 E. Williams Field Rd.,Gilbert,AZ,85295.0,480-857-9878,Trader Joes,85295,ZCTA5 85295,113168.0,54556.0,32.2,32082.0,10842.0,3934.0,463.0,15239.0,47.5
Traderjoes,85,Shopping List,8078 W Bell Rd,Glendale,AZ,85308.0,928-397-9921,Trader Joes,85308,ZCTA5 85308,91968.0,63789.0,41.4,45990.0,10434.0,4777.0,706.0,15917.0,34.6
Traderjoes,289,Shopping List,N Bullard Ave & McDowell Rd,Goodyear,AZ,85395.0,480-712-6645,Trader Joes,85395,ZCTA5 85395,105717.0,37313.0,45.4,28036.0,6461.0,3107.0,461.0,10029.0,35.8
Traderjoes,89,Shopping List,2050 E Baseline Rd,Mesa,AZ,85204.0,480-632-0951,Trader Joes,85204,ZCTA5 85204,65836.0,66851.0,33.3,43071.0,6007.0,1925.0,135.0,8067.0,18.7
Traderjoes,96,Shopping List,7912 N Oracle,Oro Valley,AZ,85704.0,520-797-4207,Trader Joes,85704,ZCTA5 85704,73268.0,34590.0,45.3,25587.0,6799.0,3572.0,1111.0,11482.0,44.9
Traderjoes,177,Shopping List,"4025 E Chandler Blvd, Ste 38",Phoenix,AZ,85048.0,480-759-2293,Trader Joes,85048,ZCTA5 85048,115101.0,34008.0,41.5,24111.0,8759.0,4027.0,627.0,13413.0,55.6
Traderjoes,282,Shopping List,4726 East Shea Blvd,Phoenix,AZ,85028.0,602-485-7788,Trader Joes,85028,ZCTA5 85028,112865.0,18174.0,49.9,14001.0,4484.0,2443.0,350.0,7277.0,52.0
Traderjoes,90,Shopping List,4821 N 20th St,Phoenix,AZ,85016.0,602-912-9022,Trader Joes,85016,ZCTA5 85016,80315.0,37025.0,36.8,28268.0,7910.0,3634.0,536.0,12080.0,42.7
Traderjoes,283,Shopping List,252 N Lee Blvd,Prescott,AZ,86303.0,928-443-9075,Trader Joes,86303,ZCTA5 86303,61811.0,19319.0,59.2,15791.0,3483.0,1569.0,416.0,5468.0,34.6
Traderjoes,286,Shopping List,21186 S. Ellsworth Loop Rd,Queen Creek,AZ,85142.0,480-877-7213,Trader Joes,85142,ZCTA5 85142,116587.0,82360.0,35.6,50407.0,12743.0,4573.0,489.0,17805.0,35.3
Traderjoes,87,Shopping List,7555 E Frank Lloyd Wright,Scottsdale,AZ,85260.0,480-367-8920,Trader Joes,85260,ZCTA5 85260,101112.0,38627.0,44.9,29525.0,10671.0,4511.0,1173.0,16355.0,55.4
Traderjoes,94,Shopping List,6202 N Scottsdale Rd,Scottsdale,AZ,85253.0,480-948-9886,Trader Joes,85253,ZCTA5 85253,172857.0,17149.0,53.9,13479.0,4950.0,2041.0,635.0,7626.0,56.6
Traderjoes,92,Shopping List,14095 W Grand Ave,Surprise,AZ,85374.0,623-546-1640,Trader Joes,85374,ZCTA5 85374,76770.0,41814.0,57.9,33167.0,6351.0,2828.0,367.0,9546.0,28.8
Traderjoes,91,Shopping List,940 E. University Drive,Tempe,AZ,85281.0,480-303-9974,Trader Joes,85281,ZCTA5 85281,55572.0,68623.0,25.3,35100.0,10062.0,5157.0,902.0,16121.0,45.9
Traderjoes,93,Shopping List,6460 S McClintock Dr,Tempe,AZ,85283.0,480-838-4142,Trader Joes,85283,ZCTA5 85283,76645.0,45739.0,34.6,31575.0,7934.0,3819.0,1041.0,12794.0,40.5
Traderjoes,191,Shopping List,4209 N Campbell Ave,Tucson,AZ,85719.0,520-325-0069,Trader Joes,85719,ZCTA5 85719,39144.0,48947.0,23.2,21179.0,5140.0,3188.0,939.0,9267.0,43.8
Traderjoes,288,Shopping List,2150 E Broadway Blvd,Tucson,AZ,85719.0,,Trader Joes,85719,ZCTA5 85719,39144.0,48947.0,23.2,21179.0,5140.0,3188.0,939.0,9267.0,43.8
Traderjoes,88,Shopping List,4766 E Grant Rd,Tucson,AZ,85712.0,520-323-4500,Trader Joes,85712,ZCTA5 85712,45254.0,30975.0,42.2,23082.0,4513.0,2390.0,727.0,7630.0,33.1
Traderjoes,95,Shopping List,"1101 N Wilmot Rd, Ste 147",Tucson,AZ,85712.0,520-733-1313,Trader Joes,85712,ZCTA5 85712,45254.0,30975.0,42.2,23082.0,4513.0,2390.0,727.0,7630.0,33.1
Traderjoes,247,Shopping List,28941 Canwood St,Agoura Hills,CA,91301.0,818-865-8217,Trader Joes,91301,ZCTA5 91301,157582.0,25244.0,44.4,17501.0,6939.0,2958.0,671.0,10568.0,60.4
Traderjoes,109,Shopping List,2217 South Shore Ctr,Alameda,CA,94501.0,510-769-5450,Trader Joes,94501,ZCTA5 94501,116596.0,63340.0,40.2,46219.0,15690.0,7670.0,1438.0,24798.0,53.7
Traderjoes,195,Shopping List,26541 Aliso Creek Rd,Aliso Viejo,CA,92656.0,949-643-5531,Trader Joes,92656,ZCTA5 92656,130854.0,53143.0,38.2,36071.0,12959.0,5487.0,815.0,19261.0,53.4
Traderjoes,295,Shopping List,6336 E Santa Ana Canyon Rd,Anaheim Hills,CA,92807.0,,Trader Joes,92807,ZCTA5 92807,133894.0,36117.0,42.6,25831.0,6972.0,3075.0,654.0,10701.0,41.4
Traderjoes,117,Shopping List,955 Rancho Pkwy,Arroyo Grande,CA,93420.0,805-474-6114,Trader Joes,93420,ZCTA5 93420,104314.0,32126.0,45.8,22776.0,6467.0,2039.0,255.0,8761.0,38.5
Traderjoes,14,Shopping List,"8200 Stockdale Hwy, #C21",Bakersfield,CA,93311.0,661-837-8863,Trader Joes,93311,ZCTA5 93311,113616.0,50535.0,32.6,31253.0,7671.0,3276.0,358.0,11305.0,36.2
Traderjoes,186,Shopping List,1885 University Ave,Berkeley,CA,94703.0,510-204-9074,Trader Joes,94703,ZCTA5 94703,99901.0,20404.0,35.4,15127.0,4572.0,3617.0,1333.0,9522.0,62.9
Traderjoes,11,Shopping List,2500 E Imperial Hwy,Brea,CA,92821.0,714-257-1180,Trader Joes,92821,ZCTA5 92821,114444.0,41604.0,39.8,29190.0,8288.0,3855.0,593.0,12736.0,43.6
Traderjoes,201,Shopping List,5451 Lone Tree Way,Brentwood,CA,94513.0,925-516-3044,Trader Joes,94513,ZCTA5 94513,133930.0,67580.0,41.0,44298.0,11479.0,3818.0,533.0,15830.0,35.7
Traderjoes,124,Shopping List,214 E Alameda Ave,Burbank,CA,91502.0,818-848-4299,Trader Joes,91502,ZCTA5 91502,59711.0,12312.0,34.7,9142.0,2380.0,957.0,0.0,3337.0,36.5
Traderjoes,254,Shopping List,23741 Calabasas Rd.,Calabasas,CA,91302.0,818-591-6758,Trader Joes,91302,ZCTA5 91302,172651.0,26318.0,43.7,18245.0,6683.0,2857.0,1010.0,10550.0,57.8
Traderjoes,114,Shopping List,363 Carmen Dr,Camarillo,CA,93010.0,805-388-1925,Trader Joes,93010,ZCTA5 93010,104847.0,47656.0,38.0,32853.0,7957.0,3535.0,816.0,12308.0,37.5
Traderjoes,73,Shopping List,1875 Bascom Ave,Campbell,CA,95008.0,408-369-7823,Trader Joes,95008,ZCTA5 95008,139688.0,48746.0,39.5,35192.0,12195.0,6428.0,1374.0,19997.0,56.8
Traderjoes,64,Shopping List,"3555 Clares St, #D",Capitola,CA,95010.0,831-464-0115,Trader Joes,95010,ZCTA5 95010,91771.0,9243.0,49.7,7300.0,2263.0,932.0,94.0,3289.0,45.1
Traderjoes,220,Shopping List,2629 Gateway Rd,Carlsbad,CA,92009.0,760-603-8473,Trader Joes,92009,ZCTA5 92009,163402.0,46334.0,41.8,31721.0,11748.0,5830.0,998.0,18576.0,58.6
Traderjoes,84,Shopping List,22224 Redwood Road,Castro Valley,CA,94546.0,510-538-2738,Trader Joes,94546,ZCTA5 94546,117808.0,45761.0,42.3,33510.0,8645.0,3733.0,467.0,12845.0,38.3
Traderjoes,118,Shopping List,67720 E Palm Canyon Dr,Cathedral City,CA,92234.0,760-202-0090,Trader Joes,92234,ZCTA5 92234,63209.0,51964.0,40.5,36697.0,5684.0,2391.0,354.0,8429.0,23.0
Traderjoes,104,Shopping List,12861 Towne Center Dr,Cerritos,CA,90703.0,562-402-5148,Trader Joes,90703,ZCTA5 90703,124240.0,49334.0,46.6,36499.0,12759.0,5031.0,912.0,18702.0,51.2
Traderjoes,184,Shopping List,10330 Mason Ave,Chatsworth,CA,91311.0,818-341-3010,Trader Joes,91311,ZCTA5 91311,112172.0,40196.0,42.8,29590.0,8311.0,3011.0,557.0,11879.0,40.1
Traderjoes,199,Shopping List,"801 East Ave, Ste 110",Chico,CA,95926.0,530-343-9920,Trader Joes,95926,ZCTA5 95926,60932.0,42362.0,27.1,22879.0,6116.0,2448.0,763.0,9327.0,40.8
Traderjoes,216,Shopping List,13911 Peyton Drive,Chino Hills,CA,91709.0,909-627-1404,Trader Joes,91709,ZCTA5 91709,117603.0,78341.0,39.4,53904.0,17297.0,6996.0,1118.0,25411.0,47.1
Traderjoes,120,Shopping List,"878 Eastlake Pkwy, Ste 810",Chula Vista,CA,91914.0,619-656-5370,Trader Joes,91914,ZCTA5 91914,162889.0,17373.0,37.5,11573.0,3306.0,1618.0,162.0,5086.0,43.9
Traderjoes,214,Shopping List,475 W Foothill Blvd,Claremont,CA,91711.0,909-625-8784,Trader Joes,91711,ZCTA5 91711,115079.0,37542.0,41.4,25144.0,6948.0,4507.0,1900.0,13355.0,53.1
Traderjoes,180,Shopping List,1077 N Willow Ave,Clovis,CA,93611.0,559-325-3120,Trader Joes,93611,ZCTA5 93611,113672.0,46620.0,38.2,30688.0,7506.0,2671.0,426.0,10603.0,34.6
Traderjoes,60,Shopping List,1150 Concord Ave,Concord,CA,94520.0,925-689-2990,Trader Joes,94520,ZCTA5 94520,77927.0,36699.0,34.7,25495.0,5626.0,1675.0,262.0,7563.0,29.7
Traderjoes,83,Shopping List,785 Oak Grove Rd,Concord,CA,94518.0,925-521-1134,Trader Joes,94518,ZCTA5 94518,111186.0,28287.0,40.2,20628.0,5696.0,2034.0,408.0,8138.0,39.5
Traderjoes,213,Shopping List,2790 Cabot Dr,Corona,CA,92883.0,951-603-0299,Trader Joes,92883,ZCTA5 92883,125423.0,37211.0,39.0,24458.0,5144.0,2318.0,201.0,7663.0,31.3
Traderjoes,290,Shopping List,"2170 Harbor Blvd, Ste 100",Costa Mesa,CA,92627.0,949-208-7420,Trader Joes,92627,ZCTA5 92627,105647.0,62181.0,35.8,43463.0,12513.0,3919.0,456.0,16888.0,38.9
Traderjoes,35,Shopping List,640 W 17th St,Costa Mesa,CA,92627.0,949-642-5134,Trader Joes,92627,ZCTA5 92627,105647.0,62181.0,35.8,43463.0,12513.0,3919.0,456.0,16888.0,38.9
Traderjoes,251,Shopping List,6150 Slauson Ave,Culver City,CA,90230.0,310-313-0441,Trader Joes,90230,ZCTA5 90230,107870.0,32005.0,40.8,23798.0,7402.0,4097.0,955.0,12454.0,52.3
Traderjoes,36,Shopping List,9290 Culver Blvd,Culver City,CA,90232.0,310-202-1108,Trader Joes,90232,ZCTA5 90232,113278.0,16352.0,37.3,12222.0,4297.0,2288.0,430.0,7015.0,57.4
Traderjoes,242,Shopping List,5245 Katella Ave.,Cypress,CA,90720.0,714-220-4930,Trader Joes,90720,ZCTA5 90720,131660.0,23673.0,43.2,16174.0,5212.0,2141.0,412.0,7765.0,48.0
Traderjoes,74,Shopping List,417 Westlake Center,Daly City,CA,94015.0,650-755-3825,Trader Joes,94015,ZCTA5 94015,117289.0,65125.0,40.7,48295.0,15209.0,3045.0,460.0,18714.0,38.7
Traderjoes,65,Shopping List,85 Railroad Ave,Danville,CA,94526.0,925-838-5757,Trader Joes,94526,ZCTA5 94526,202697.0,33396.0,46.2,22657.0,9653.0,4183.0,921.0,14757.0,65.1
Traderjoes,182,Shopping List,885 Russell Blvd,Davis,CA,95616.0,530-757-2693,Trader Joes,95616,ZCTA5 95616,69204.0,52090.0,23.3,22870.0,7073.0,5322.0,3012.0,15407.0,67.4
Traderjoes,55,Shopping List,1566 Colorado Blvd,Eagle Rock,CA,90041.0,323-257-6422,Trader Joes,90041,ZCTA5 90041,111938.0,28321.0,40.4,20405.0,6862.0,2139.0,445.0,9446.0,46.3
Traderjoes,108,Shopping List,225 El Cerrito Plaza,El Cerrito,CA,94530.0,510-524-7609,Trader Joes,94530,ZCTA5 94530,119761.0,26483.0,41.6,20082.0,6626.0,4087.0,1342.0,12055.0,60.0
Traderjoes,190,Shopping List,9670 Bruceville Road,Elk Grove,CA,95757.0,916-686-9980,Trader Joes,95757,ZCTA5 95757,128216.0,53232.0,37.7,34048.0,9513.0,2640.0,712.0,12865.0,37.8
Traderjoes,72,Shopping List,5700 Christie Ave,Emeryville,CA,94608.0,510-658-8091,Trader Joes,94608,ZCTA5 94608,114286.0,34083.0,35.4,27405.0,10181.0,5146.0,1155.0,16482.0,60.1
Traderjoes,25,Shopping List,"115 N El Camino Real, Ste A",Encinitas,CA,92024.0,760-634-2114,Trader Joes,92024,ZCTA5 92024,141329.0,50222.0,43.7,37296.0,14126.0,5834.0,1630.0,21590.0,57.9
Traderjoes,56,Shopping List,17640 Burbank Blvd,Encino,CA,91316.0,818-990-7751,Trader Joes,91316,ZCTA5 91316,85354.0,28497.0,45.0,21692.0,6333.0,2766.0,761.0,9860.0,45.5
Traderjoes,105,Shopping List,1885 S Centre City Pkwy,Escondido,CA,92025.0,760-233-4020,Trader Joes,92025,ZCTA5 92025,66894.0,50270.0,36.4,33593.0,6520.0,2051.0,457.0,9028.0,26.9
Traderjoes,71,Shopping List,5309 Sunrise Blvd,Fair Oaks,CA,95628.0,916-863-1744,Trader Joes,95628,ZCTA5 95628,110012.0,44256.0,43.0,32531.0,9220.0,3636.0,573.0,13429.0,41.3
Traderjoes,101,Shopping List,"1350 Gateway Blvd, Ste A1-A7",Fairfield,CA,94533.0,707-434-0144,Trader Joes,94533,ZCTA5 94533,84907.0,78129.0,34.7,51847.0,7648.0,2534.0,202.0,10384.0,20.0
Traderjoes,172,Shopping List,850 East Bidwell,Folsom,CA,95630.0,916-817-8820,Trader Joes,95630,ZCTA5 95630,134844.0,76599.0,40.0,52112.0,17617.0,9577.0,1203.0,28397.0,54.5
Traderjoes,77,Shopping List,39324 Argonaut Way,Fremont,CA,94538.0,510-794-1386,Trader Joes,94538,ZCTA5 94538,143146.0,66215.0,36.3,47927.0,14108.0,9950.0,964.0,25022.0,52.2
Traderjoes,8,Shopping List,8478 N. Friant Road,Fresno,CA,93720.0,559-433-6478,Trader Joes,93720,ZCTA5 93720,104428.0,48597.0,38.1,33636.0,10195.0,3506.0,855.0,14556.0,43.3
Traderjoes,53,Shopping List,103 E Glenoaks Blvd,Glendale,CA,91207.0,818-507-8192,Trader Joes,91207,ZCTA5 91207,106984.0,11091.0,43.3,8275.0,2190.0,1184.0,138.0,3512.0,42.4
Traderjoes,110,Shopping List,5767 Calle Real,Goleta,CA,93117.0,805-692-2234,Trader Joes,93117,ZCTA5 93117,79553.0,53345.0,23.0,23990.0,6818.0,3185.0,1828.0,11831.0,49.3
Traderjoes,44,Shopping List,11114 Balboa Blvd,Granada Hills,CA,91344.0,818-368-6461,Trader Joes,91344,ZCTA5 91344,111897.0,53862.0,42.4,39123.0,9800.0,3382.0,655.0,13837.0,35.4
Traderjoes,235,Shopping List,2052 Redwood Hwy,Greenbrae,CA,94904.0,415-945-7955,Trader Joes,94904,ZCTA5 94904,158338.0,13132.0,50.5,9757.0,3695.0,1873.0,467.0,6035.0,61.9
Traderjoes,248,Shopping List,1100 Pacific Coast Hwy,Hermosa Beach,CA,90254.0,310-318-1767,Trader Joes,90254,ZCTA5 90254,149500.0,19551.0,40.2,15004.0,7195.0,3370.0,352.0,10917.0,72.8
Traderjoes,241,Shopping List,21431 Brookhurst St,Huntington Beach,CA,92646.0,714-968-4070,Trader Joes,92646,ZCTA5 92646,123899.0,56033.0,46.7,41842.0,13050.0,5482.0,749.0,19281.0,46.1
Traderjoes,244,Shopping List,16821 Algonquin St,Huntington Beach,CA,92649.0,714-846-7307,Trader Joes,92649,ZCTA5 92649,116055.0,35206.0,45.8,26634.0,7949.0,3702.0,720.0,12371.0,46.4
Traderjoes,47,Shopping List,18681 Main St,Huntington Beach,CA,92648.0,714-848-9640,Trader Joes,92648,ZCTA5 92648,116189.0,45667.0,44.2,34470.0,10498.0,4235.0,586.0,15319.0,44.4
Traderjoes,111,Shopping List,4225 Campus Dr,Irvine,CA,92612.0,949-509-6138,Trader Joes,92612,ZCTA5 92612,88929.0,34868.0,30.1,21853.0,9046.0,3702.0,821.0,13569.0,62.1
Traderjoes,210,Shopping List,6222 Irvine Blvd,Irvine,CA,92620.0,949-551-6402,Trader Joes,92620,ZCTA5 92620,135494.0,61110.0,37.2,40636.0,15474.0,9714.0,1821.0,27009.0,66.5
Traderjoes,37,Shopping List,14443 Culver Dr,Irvine,CA,92604.0,949-857-8108,Trader Joes,92604,ZCTA5 92604,120460.0,29080.0,42.7,20223.0,7487.0,3949.0,601.0,12037.0,59.5
Traderjoes,42,Shopping List,475 Foothill Blvd,La Canada,CA,91011.0,818-790-6373,Trader Joes,91011,ZCTA5 91011,210532.0,20389.0,45.1,13596.0,5163.0,2655.0,559.0,8377.0,61.6
Traderjoes,5,Shopping List,"2101 W. Imperial Hwy, Suite A",La Habra,CA,90631.0,562-266-1428,Trader Joes,90631,ZCTA5 90631,98009.0,69064.0,38.6,47804.0,9409.0,3746.0,653.0,13808.0,28.9
Traderjoes,20,Shopping List,8657 Villa la Jolla Dr,La Jolla,CA,92037.0,858-546-8629,Trader Joes,92037,ZCTA5 92037,136601.0,37665.0,46.3,27760.0,9370.0,6017.0,2519.0,17906.0,64.5
Traderjoes,24,Shopping List,5495 Grossmont Center Dr,La Mesa,CA,91942.0,619-466-0105,Trader Joes,91942,ZCTA5 91942,80996.0,40995.0,36.4,29139.0,7179.0,2707.0,547.0,10433.0,35.8
Traderjoes,189,Shopping List,46400 Washington St,La Quinta,CA,92253.0,760-777-1553,Trader Joes,92253,ZCTA5 92253,92744.0,37898.0,51.0,28239.0,6856.0,2594.0,356.0,9806.0,34.7
Traderjoes,277,Shopping List,2330 Foothill Blvd,La Verne,CA,91750.0,909-901-4568,Trader Joes,91750,ZCTA5 91750,103774.0,33436.0,45.1,23930.0,6186.0,2555.0,527.0,9268.0,38.7
Traderjoes,257,Shopping List,27542 Antonio Pkwy,Ladera Ranch,CA,92694.0,949-239-6429,Trader Joes,92694,ZCTA5 92694,187701.0,35074.0,35.9,21026.0,8397.0,4018.0,360.0,12775.0,60.8
Traderjoes,115,Shopping List,3649 Mt Diablo Blvd,Lafayette,CA,94549.0,925-299-9344,Trader Joes,94549,ZCTA5 94549,221148.0,28456.0,45.9,20016.0,7698.0,4209.0,1038.0,12945.0,64.7
Traderjoes,39,Shopping List,"24231 Avenida De La Carlota, Suite 100",Laguna Hills,CA,92653.0,949-461-0927,Trader Joes,92653,ZCTA5 92653,123490.0,29923.0,43.3,22056.0,7767.0,2743.0,393.0,10903.0,49.4
Traderjoes,103,Shopping List,32351 Street of the Golden Lantern,Laguna Niguel,CA,92677.0,949-493-8599,Trader Joes,92677,ZCTA5 92677,135822.0,64259.0,47.2,47819.0,15588.0,7391.0,1132.0,24111.0,50.4
Traderjoes,208,Shopping List,1122 A East Stanley Blvd,Livermore,CA,94550.0,925-243-1947,Trader Joes,94550,ZCTA5 94550,171388.0,49463.0,42.9,35646.0,11538.0,4869.0,1662.0,18069.0,50.7
Traderjoes,116,Shopping List,4210 Long Beach Blvd,Long Beach,CA,90807.0,562-422-1020,Trader Joes,90807,ZCTA5 90807,89319.0,33153.0,41.6,23887.0,6270.0,3101.0,589.0,9960.0,41.7
